"X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
1.8149382783038885e+02,2.5397777493260745e+02,8.5360774452012969e+00,-4.3402851455263392e+00,2.9061983759619295e+01,8.8414756299276187e-01,9.1919438865959366e-02,4.9150191021755258e+00,2.0804980968334580e+03,4.4947753114997005e-02
1.9414026118596303e+02,2.3141710392864437e+02,6.5909187281972210e+00,-3.8556979817478565e+00,3.4273963637410077e+01,6.1323533163550714e-01,9.8571230576819990e-02,4.7564334459757456e+00,2.4599641372762735e+03,3.0591624612865076e-02
1.5676381754094206e+02,2.5828552847946014e+02,9.7686122692728077e+00,7.9891323630770543e+00,2.0086126745394587e+01,6.9801702269624533e-01,1.2314876005516279e-01,2.5701415788188653e+00,1.9232771116178540e+03,6.8998582499532807e-02
1.5162513756021923e+02,2.4043452994200828e+02,8.5997830947177096e+00,1.5133031792260176e+00,3.6790778277622501e+01,5.9761875539882114e-01,1.4898417429509936e-01,3.6387504204403402e+00,2.1543926118947534e+03,6.4900171179805122e-02
1.6735285206067610e+02,2.7600775731114038e+02,8.7840476654183419e+00,-3.2687366092167691e+00,2.9955422709237183e+01,6.2895944625433731e-01,1.0067206918399463e-01,2.7552960186150144e+00,1.9385641470241878e+03,3.1601878434476614e-02
1.9847115105674948e+02,2.9133683519649986e+02,9.1266845032560688e+00,9.2258699987815085e+00,1.7952420708063240e+01,5.0888596682744258e-01,1.2440996104483754e-01,3.3742662096867755e+00,2.3668815549440628e+03,6.2387997936742372e-02
1.9603397966785252e+02,2.6777936915262649e+02,8.0035553176354703e+00,8.6357587589780209e+00,2.8124954763025087e+01,6.2112050470762947e-01,1.1992030798116815e-01,5.6849866248093726e+00,2.2528539127259646e+03,7.0353557758942198e-02
1.7515200757246913e+02,2.9708227279636361e+02,6.8105247613574038e+00,-6.1985455946617884e+00,2.4315283851481887e+01,7.3612840968522042e-01,1.2481871310015837e-01,5.2945837476619211e+00,2.2351730926388618e+03,7.0807114576735775e-02
1.5316030382565253e+02,2.8367287093384522e+02,7.1215988054558332e+00,3.9068287675783697e+00,3.6297049093603775e+01,8.1004308538932590e-01,1.6256602839756884e-01,4.4160762846717301e+00,1.7776730038483286e+03,4.8190009107395820e-02
1.6463784468738658e+02,2.2486955639770429e+02,7.5102866522930549e+00,-1.1138417453851233e+00,2.2088340512714581e+01,7.9295095467523991e-01,1.0342323989102531e-01,5.7513704986070096e+00,1.8751759986145380e+03,7.6850688171777343e-02
1.8571909987187581e+02,2.7323080598585881e+02,8.4174252038953128e+00,8.8332865631765003e+00,3.9375923452580189e+01,5.6952238732305105e-01,1.7664140747207530e-01,4.9254620596940946e+00,2.1305297537853262e+03,5.0033798437403111e-02
1.6916809879484975e+02,2.9009212080078288e+02,7.8353149075546140e+00,-1.7746409823164164e+00,2.0913775503535003e+01,6.3379544716973701e-01,1.3574680785114138e-01,3.7345951723181652e+00,2.1976616683063598e+03,6.1111624529325503e-02
1.6868837451417744e+02,2.5566072530232003e+02,6.8640941383649992e+00,-6.0191920694862278e+00,3.4445054942445026e+01,6.7014525388523272e-01,1.0116138019072819e-01,4.7506859529664158e+00,2.4610465650709152e+03,2.9141775034534984e-02
1.8686340295431376e+02,2.5943712575452446e+02,7.6939803433094012e+00,5.0874699281064331e+00,3.7384895386930310e+01,9.3074576575396872e-01,1.5233994594018962e-01,2.7976467582018349e+00,1.7499039379215753e+03,3.3441358852143332e-02
1.9417517250257026e+02,2.7974807798204074e+02,7.7034238912036237e+00,8.4841740959298306e+00,3.0926274951593541e+01,8.3527964664295118e-01,1.4067406847708303e-01,4.5424765030931553e+00,1.8547954495141689e+03,5.2444400010322564e-02
1.6474970406652844e+02,2.8565860399930335e+02,6.3679416842882466e+00,-5.3833250924230347e+00,2.6699303540892679e+01,8.9079334727768622e-01,9.6289206531214588e-02,3.3175504042742094e+00,2.0380283639795314e+03,7.2230674009995804e-02
1.9642551855950620e+02,2.3764011236278543e+02,6.0830704181808493e+00,-8.9236898549525243e+00,3.7780817188815789e+01,8.2281823335068338e-01,1.7256342570219463e-01,2.7316405692387997e+00,2.3484824118736742e+03,6.8862253514979238e-02
1.9104053868222610e+02,2.7290642292102575e+02,8.3900831169972818e+00,3.1385340143463392e+00,2.5541684261788916e+01,8.2238276874431293e-01,1.1330719147522596e-01,3.0539185558330049e+00,2.0957408347953760e+03,6.0234264362359777e-02
1.8422874440862512e+02,2.3942245230618096e+02,6.9839287366448870e+00,-2.4883245764178685e+00,1.7877848473739068e+01,5.0901102302688095e-01,1.4684755551350226e-01,4.4629891228974516e+00,2.2758331261963326e+03,5.8698727691515080e-02
1.9140136135863264e+02,2.2441864262196060e+02,9.6927947753974166e+00,-6.3254515827662816e+00,2.0690516845934042e+01,6.2158684707389833e-01,1.6612505132712774e-01,4.6917122317726632e+00,2.1429655692957722e+03,6.7434242652668799e-02
1.6799010868644811e+02,2.8931372462652007e+02,6.9467207002478748e+00,1.9950051895752630e+00,2.3202925061548733e+01,7.7478644217161441e-01,1.0613362769125702e-01,3.2107669228301154e+00,2.0931392321788230e+03,2.9754979651421525e-02
1.9773730548700993e+02,2.3124860057946523e+02,6.8037845430627666e+00,3.2429735236732959e+00,3.1117090495088988e+01,5.9569579165101683e-01,1.6701800996103763e-01,4.3871173534952366e+00,2.1917925818378435e+03,7.7705753770762886e-02
1.7943077230400763e+02,2.9654764879513039e+02,8.2775583219229070e+00,4.5108778223701265e+00,3.2840885984867086e+01,6.2472203848807450e-01,1.6616827632064313e-01,3.2201915559365952e+00,1.9036039279758106e+03,7.1435327646215740e-02
1.5910195425941612e+02,2.2588228854230647e+02,6.2287071874176059e+00,2.3719467464928314e+00,2.9529122814250790e+01,8.3733663840378336e-01,1.0063921702195326e-01,4.2222126490749314e+00,2.1618429308594768e+03,6.3230505608172310e-02
1.5428924858943822e+02,2.8239290005873113e+02,6.9748546142677359e+00,-6.7458303630039573e-01,2.3076829989914039e+01,5.3097016116243656e-01,1.4867087250201927e-01,5.3654042191265559e+00,2.2699774145300539e+03,7.1637450797066016e-02
1.8303636453661480e+02,2.3421609135296930e+02,9.8445444076917070e+00,-7.1038532644349583e+00,4.3068346037267943e+01,5.9328780430953643e-01,1.4598940028577972e-01,2.9309559848874938e+00,2.1439035184792538e+03,4.4015236751407054e-02
1.6052210183029422e+02,2.2761955085820878e+02,9.1967603373446032e+00,4.8887363939532378e+00,1.8630010264152975e+01,7.8980422365303726e-01,8.6115689843276236e-02,3.7956940385068960e+00,2.4928952646764710e+03,6.5962317461265865e-02
1.6931143423787483e+02,2.5295665407228751e+02,9.3373937342357998e+00,-2.4189786237576261e+00,2.1000780548938906e+01,8.0852216273996769e-01,1.6738290705671899e-01,5.3498420198691354e+00,1.8286107186594907e+03,3.0557487003029279e-02
1.5122797338179899e+02,2.7924575269167588e+02,7.6758446629995811e+00,1.8364147447103463e+00,2.3192370142817506e+01,6.7458230312377521e-01,1.0107740414171719e-01,3.3024560402294436e+00,2.3547792574033319e+03,4.9748128030512026e-02
1.7094593747554978e+02,2.3539444843340465e+02,9.8002687298976898e+00,8.2099728742358771e+00,2.5219927497996995e+01,8.4712763413355519e-01,1.0211835172924801e-01,3.6409284156441433e+00,2.2879700687090135e+03,6.4985051393383952e-02
1.9909204386475557e+02,2.4412740679589126e+02,6.7865378894512798e+00,-9.8722561025009270e+00,3.3060255646900401e+01,6.4728283713503587e-01,1.4914053205065622e-01,3.1321085516634843e+00,2.3927986229861335e+03,3.6638002172054783e-02
1.9580659955618751e+02,2.8463866965516502e+02,7.3255618105757847e+00,-2.0865585014749222e+00,2.5431325571821265e+01,8.2414663393003273e-01,1.5332336602418845e-01,5.0980221308080704e+00,1.8705866713298833e+03,6.2648489032294113e-02
1.9778015293733017e+02,2.4922139013692041e+02,9.9858334883763291e+00,-6.2586910649863015e+00,4.0993352368749399e+01,9.2717716719860122e-01,1.5767719777787681e-01,5.9971603341524098e+00,2.2033433626461297e+03,7.7284830042436747e-02
