Sample Size,Mean Estimate,Lower Bound,Upper Bound
1.0,293.4016579304543,292.3403098403267,294.4630060205819
2.0,285.06132033971426,283.9999722495867,286.12266842984184
3.0,273.95709790705655,272.89574981692897,275.01844599718413
4.0,277.8991285731647,276.83778048303714,278.9604766632923
5.0,285.87008244170113,284.80873435157355,286.9314305318287
6.0,280.02581096315924,278.96446287303166,281.0871590532868
7.0,274.6333768830661,273.5720287929385,275.6947249731937
8.0,273.60277854555954,272.54143045543196,274.6641266356871
9.0,274.03318102165827,272.9718329315307,275.09452911178585
10.0,271.8959796469279,270.83463155680033,272.9573277370555
11.0,272.3328333246905,271.27148523456293,273.3941814148181
12.0,272.58217169730784,271.52082360718026,273.6435197874354
13.0,274.49042634053455,273.429078250407,275.55177443066214
14.0,273.50728977932823,272.44594168920065,274.5686378694558
15.0,273.58788725032065,272.52653916019307,274.64923534044823
16.0,276.37681053238566,275.3154624422581,277.43815862251324
17.0,273.87144379152915,272.81009570140156,274.9327918816567
18.0,274.6964210613162,273.6350729711886,275.75776915144377
19.0,275.02564184144825,273.96429375132067,276.08698993157583
20.0,275.4251184642052,274.3637703740776,276.48646655433276
21.0,277.2046946880725,276.1433465979449,278.2660427782001
22.0,276.7644338009656,275.703085710838,277.8257818910932
23.0,277.35197000187554,276.29062191174796,278.4133180920031
24.0,276.59202394517007,275.5306758550425,277.65337203529765
25.0,277.75098743275146,276.6896393426239,278.81233552287904
26.0,277.37031458773583,276.30896649760825,278.4316626778634
27.0,277.7589555364512,276.6976074463236,278.8203036265788
28.0,277.7123167463841,276.6509686562565,278.77366483651167
29.0,276.2845020936599,275.22315400353233,277.3458501837875
30.0,274.5098415485736,273.448493458446,275.5711896387012
31.0,273.35411519728444,272.29276710715686,274.415463287412
32.0,273.05369368606654,271.99234559593896,274.1150417761941
33.0,272.92104279459,271.8596947044624,273.9823908847176
34.0,272.9459004480944,271.8845523579668,274.007248538222
35.0,273.96111597581336,272.8997678856858,275.02246406594094
36.0,273.29169824932444,272.23035015919686,274.353046339452
37.0,272.5392490395126,271.477900949385,273.60059712964016
38.0,272.6591526638106,271.597804573683,273.72050075393815
39.0,272.784554193988,271.72320610386043,273.8459022841156
40.0,273.3699943884498,272.30864629832223,274.4313424785774
41.0,273.5678189917975,272.5064709016699,274.62916708192506
42.0,272.9003390268589,271.8389909367313,273.96168711698647
43.0,272.66426141050675,271.6029133203792,273.72560950063433
44.0,272.2498024693297,271.18845437920214,273.3111505594573
45.0,271.31235313373907,270.2510050436115,272.37370122386665
46.0,271.4057597996185,270.34441170949094,272.4671078897461
47.0,271.0962952426064,270.0349471524788,272.157643332734
48.0,271.0279594225079,269.9666113323803,272.08930751263546
49.0,271.33211249865514,270.27076440852755,272.3934605887827
50.0,270.4711224103024,269.40977432017485,271.53247050043
51.0,270.61646690921424,269.55511881908666,271.6778149993418
52.0,270.3666632085775,269.3053151184499,271.4280112987051
53.0,270.8299198212746,269.768571731147,271.89126791140217
54.0,271.15925790618866,270.0979098160611,272.22060599631624
55.0,270.8224657964563,269.7611177063287,271.8838138865839
56.0,271.28025240306863,270.21890431294105,272.3416004931962
57.0,271.15349068200567,270.0921425918781,272.21483877213325
58.0,270.48762506850943,269.42627697838185,271.548973158637
59.0,270.77521398223877,269.7138658921112,271.83656207236635
60.0,270.36357446928747,269.3022263791599,271.42492255941505
61.0,270.9725284247152,269.91118033458764,272.0338765148428
62.0,270.4885761756993,269.4272280855717,271.54992426582686
63.0,270.02213609046396,268.9607880003364,271.08348418059154
64.0,269.86427338927786,268.8029252991503,270.92562147940544
65.0,269.7856334989629,268.7242854088353,270.8469815890905
66.0,269.9132698506451,268.85192176051754,270.9746179407727
67.0,270.4852044050248,269.4238563148972,271.54655249515235
68.0,270.1469787270281,269.08563063690053,271.2083268171557
69.0,269.9613139630775,268.8999658729499,271.02266205320507
70.0,269.59075409796964,268.52940600784206,270.6521021880972
71.0,269.70227156201037,268.6409234718828,270.76361965213795
72.0,269.2042721925791,268.1429241024515,270.26562028270666
73.0,268.7390137728363,267.6776656827087,269.8003618629639
74.0,268.7750437223608,267.7136956322332,269.8363918124884
75.0,268.7955429441588,267.7341948540312,269.8568910342864
76.0,269.00549335417827,267.9441452640507,270.06684144430585
77.0,269.3337085935209,268.2723605033933,270.3950566836485
78.0,269.34076635137706,268.2794182612495,270.40211444150464
79.0,269.66418561346563,268.60283752333805,270.7255337035932
80.0,269.81049475251723,268.74914666238965,270.8718428426448
81.0,269.2733232617118,268.21197517158424,270.3346713518394
82.0,269.1018673687066,268.04051927857904,270.1632154588342
83.0,268.9255438280879,267.8641957379603,269.98689191821546
84.0,268.73402538176407,267.6726772916365,269.79537347189165
85.0,268.52677139001213,267.46542329988455,269.5881194801397
86.0,268.0546199272092,266.99327183708164,269.1159680173368
87.0,268.09424575255485,267.0328976624273,269.15559384268244
88.0,268.23469271682757,267.1733446267,269.29604080695515
89.0,268.2128215161422,267.1514734260146,269.27416960626977
90.0,267.6969178231431,266.63556973301553,268.7582659132707
91.0,267.8523316517533,266.7909835616257,268.91367974188086
92.0,268.01442596741,266.9530778772824,269.07577405753756
93.0,268.5279889176468,267.4666408275192,269.58933700777436
94.0,268.651900104792,267.5905520146644,269.7132481949196
95.0,268.20952351730404,267.14817542717645,269.2708716074316
96.0,268.08824824045666,267.0269001503291,269.14959633058425
97.0,267.8692359221897,266.80788783206214,268.9305840123173
98.0,267.8001522429611,266.7388041528335,268.86150033308866
99.0,267.88732744587895,266.8259793557514,268.94867553600653
100.0,267.57757966970536,266.5162315795778,268.63892775983294
101.0,268.09366332913237,267.0323152390048,269.15501141925995
102.0,267.8686396657636,266.80729157563604,268.9299877558912
103.0,268.12747269950955,267.066124609382,269.18882078963713
104.0,268.56660833016196,267.5052602400344,269.62795642028954
105.0,268.44592305557586,267.3845749654483,269.50727114570344
106.0,268.3612603933463,267.2999123032187,269.4226084834739
107.0,268.4988072111012,267.43745912097364,269.5601553012288
108.0,268.7175782446343,267.6562301545067,269.7789263347619
109.0,268.5883013252013,267.52695323507373,269.6496494153289
110.0,268.6081650872771,267.5468169971495,269.66951317740467
111.0,268.07734671927074,267.01599862914316,269.1386948093983
112.0,268.2027997027006,267.141451612573,269.26414779282817
113.0,268.2040185414973,267.1426704513697,269.2653666316249
114.0,268.44799530252584,267.38664721239826,269.5093433926534
115.0,268.6269460688367,267.5655979787091,269.68829415896425
116.0,268.61973480709537,267.5583867169678,269.68108289722295
117.0,268.70890846389995,267.64756037377236,269.7702565540275
118.0,268.6270564124637,267.5657083223361,269.68840450259125
119.0,268.5841016195937,267.5227535294661,269.6454497097213
120.0,268.4222013728899,267.3608532827623,269.4835494630175
121.0,268.57399886661494,267.51265077648736,269.6353469567425
122.0,268.6167340749725,267.5553859848449,269.6780821651001
123.0,268.6630286269163,267.6016805367887,269.72437671704387
124.0,268.48475665394636,267.4234085638188,269.54610474407394
125.0,268.5703103504564,267.5089622603288,269.631658440584
126.0,268.39115881575884,267.32981072563126,269.4525069058864
127.0,268.52866498995576,267.4673168998282,269.59001308008334
128.0,268.30561207026653,267.24426398013895,269.3669601603941
129.0,268.31702282055386,267.2556747304263,269.37837091068144
130.0,268.26651760364626,267.2051695135187,269.32786569377384
131.0,268.2870480619568,267.2256999718292,269.3483961520844
132.0,268.22207742172077,267.1607293315932,269.28342551184835
133.0,267.84534936121855,266.784001271091,268.90669745134613
134.0,267.73980310392784,266.67845501380026,268.8011511940554
135.0,267.7523973231263,266.6910492329987,268.81374541325386
136.0,267.6594699588366,266.59812186870903,268.7208180489642
137.0,267.696983903137,266.6356358130094,268.75833199326456
138.0,267.5186614349218,266.4573133447942,268.5800095250494
139.0,267.56718748853933,266.50583939841175,268.6285355786669
140.0,267.4321942104671,266.37084612033954,268.4935423005947
141.0,267.4072487469196,266.345900656792,268.4685968370472
142.0,267.440991337916,266.3796432477884,268.50233942804357
143.0,267.47136198876797,266.4100138986404,268.53271007889555
144.0,267.3468721641555,266.28552407402793,268.4082202542831
145.0,267.51960105773577,266.4582529676082,268.58094914786335
146.0,267.63104224840373,266.56969415827615,268.6923903385313
147.0,267.98831108166473,266.92696299153715,269.0496591717923
148.0,267.9755416893304,266.9141935992028,269.03688977945797
149.0,268.0216967296935,266.9603486395659,269.08304481982105
150.0,268.0180070668765,266.95665897674894,269.0793551570041
151.0,268.1969551844008,267.1356070942732,269.2583032745284
152.0,268.1393673206701,267.0780192305425,269.20071541079767
153.0,268.2451206148284,267.1837725247008,269.306468704956
154.0,268.3144365582796,267.25308846815204,269.3757846484072
155.0,268.29028715059917,267.2289390604716,269.35163524072675
156.0,268.41084824595106,267.3495001558235,269.47219633607864
157.0,268.6317074086881,267.5703593185605,269.6930554988157
158.0,268.50674570375304,267.44539761362546,269.5680937938806
159.0,268.32361441497875,267.26226632485117,269.38496250510633
160.0,268.41582342732636,267.3544753371988,269.47717151745394
161.0,268.43318536946674,267.37183727933916,269.4945334595943
162.0,268.2107818631772,267.1494337730496,269.2721299533048
163.0,268.33313764749175,267.2717895573642,269.39448573761933
164.0,268.2981370732252,267.2367889830976,269.35948516335276
165.0,268.17359934455453,267.11225125442695,269.2349474346821
166.0,268.1185025355694,267.0571544454418,269.179850625697
167.0,268.01996172558967,266.9586136354621,269.08130981571725
168.0,268.08898399226524,267.02763590213766,269.1503320823928
169.0,268.01661303945275,266.95526494932517,269.07796112958033
170.0,268.0206432486704,266.95929515854283,269.081991338798
171.0,268.0535694460396,266.992221355912,269.1149175361672
172.0,267.9388956273353,266.8775475372077,269.00024371746287
173.0,267.9905071373839,266.9291590472563,269.05185522751145
174.0,268.0432454365117,266.98189734638413,269.1045935266393
175.0,268.01446625564853,266.95311816552095,269.0758143457761
176.0,268.0923378660092,267.0309897758816,269.15368595613677
177.0,268.2055310945038,267.1441830043762,269.26687918463136
178.0,268.4260079430166,267.364659852889,269.4873560331442
179.0,268.37285884655194,267.31151075642435,269.4342069366795
180.0,268.3667746339149,267.3054265437873,269.42812272404245
181.0,268.2602475420841,267.1988994519565,269.32159563221165
182.0,268.3110064690134,267.24965837888584,269.372354559141
183.0,268.20288947173725,267.14154138160967,269.26423756186483
184.0,268.43359294463124,267.37224485450366,269.4949410347588
185.0,268.5617724702341,267.5004243801065,269.62312056036166
186.0,268.53024615792657,267.468898067799,269.59159424805415
187.0,268.40089451220183,267.33954642207425,269.4622426023294
188.0,268.38281202172806,267.3214639316005,269.44416011185564
189.0,268.1507176499173,267.0893695597897,269.21206574004486
190.0,268.1165707118645,267.0552226217369,269.17791880199206
191.0,268.0968904172987,267.03554232717113,269.1582385074263
192.0,268.17713926956174,267.11579117943415,269.2384873596893
193.0,268.2440148228321,267.18266673270455,269.3053629129597
194.0,268.1770534696074,267.11570537947983,269.238401559735
195.0,267.957457086855,266.89610899672743,269.0188051769826
